scorer,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000
bodyparts,Eye,Eye,Eye,Snout,Snout,Snout,Whisker,Whisker,Whisker,Right_Forepaw,Right_Forepaw,Right_Forepaw,Left_Forepaw,Left_Forepaw,Left_Forepaw
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
77,331.441925,29.54467392,0.999994278,431.5016174,78.31894684,0.999892592,371.4646301,103.3902435,0.999013662,239.6531677,266.4992065,0.999983311,321.3837585,232.0335999,0.9999789
78,331.2304688,29.20975494,0.999992132,430.5335083,78.52225494,0.999910474,354.082428,96.49314117,0.999678493,246.5491638,265.0108337,0.99999249,323.5776367,231.5673981,0.999989748
79,332.1342773,28.87812996,0.999991179,428.986908,75.49822998,0.99989748,353.8478394,111.5086212,0.980828822,247.6535645,264.6263733,0.999991298,324.6394348,231.1748352,0.999990225
80,331.1366577,28.4977417,0.999991059,431.0773926,77.62737274,0.999853969,351.6279907,98.08513641,0.999968886,248.8721313,264.871521,0.999992013,326.1442261,231.58992,0.999986768
81,331.0952454,28.55971527,0.999992251,430.8175049,77.57099152,0.999901772,352.3507385,96.29415131,0.999814093,248.9384918,264.3377991,0.999987721,325.6571045,231.5314636,0.999990463
82,332.2535706,28.73273849,0.999993086,430.6023865,78.45381927,0.999837041,355.7779541,115.7918167,0.998960018,248.4149933,264.3712158,0.999986172,326.8748474,228.9688568,0.999990582
83,331.3403625,29.33503342,0.999991894,429.6144714,73.58338928,0.999829888,367.4569397,102.8753357,0.999916196,247.405899,265.1552734,0.999991179,325.3553467,231.1925354,0.999982834
84,331.8805847,28.18778419,0.999990582,431.3164978,76.1395874,0.999922395,356.5837708,113.440155,0.999439061,245.3313293,266.6688232,0.999994874,324.0545349,229.7288055,0.999991059
85,331.4234009,28.85078621,0.999990702,432.4438782,70.7923584,0.999875665,362.9983215,104.4669189,0.999967337,244.1110382,267.1098633,0.999995112,315.5622559,227.5459137,0.999987602
86,332.0544128,27.63115311,0.999990582,430.6698303,75.7049942,0.999833941,355.9144592,112.7911911,0.999745667,243.2930603,267.9631958,0.999993205,314.5295715,228.0302124,0.999986768
87,331.4525452,28.17032623,0.999991059,433.7203979,69.95478821,0.999934793,361.7874756,105.8181915,0.99988389,242.494751,267.8363647,0.999992609,316.0559082,227.6372833,0.999989867
88,331.3851013,27.82012558,0.999990344,434.8403931,73.53517151,0.999955177,360.7159119,105.3139572,0.999836802,242.7596588,266.5911865,0.99999094,317.2675781,226.4411926,0.999995589
89,331.1994934,28.09866524,0.999991536,434.2076111,73.6607132,0.99991405,361.4255676,103.8100739,0.999913216,249.9057617,265.2413635,0.99996531,316.2819519,218.9902039,0.999937296
90,331.2156067,27.81834984,0.999991536,432.0784912,73.44280243,0.999938846,365.4503174,104.2319717,0.999945641,250.3008881,261.6899109,0.999993563,317.5163879,220.0560303,0.999928594
91,330.715332,28.75754738,0.999987006,431.1820679,76.6056366,0.999781907,373.2768555,107.986557,0.998966575,192.2506866,249.8993378,0.999993205,340.3198547,220.8124237,0.999851227
92,330.9561462,29.17112923,0.999989986,429.3157959,77.74337769,0.999851584,366.7337952,108.5479813,0.9820925,215.9260559,252.2609711,0.999996662,341.4143066,221.1171265,0.999942541
93,331.033783,28.31051064,0.999989271,429.3222351,75.89296722,0.999859571,367.9698486,105.371376,0.999041736,215.7831573,251.6682434,0.999996305,341.8093262,220.8168945,0.999907255
94,331.2341919,27.9991169,0.999989867,432.0194397,78.07273102,0.999923468,357.1821594,97.55917358,0.999936461,232.7011566,257.5429382,0.99997735,342.3579407,221.8677216,0.999881744
95,332.1202698,29.1765995,0.999991059,429.8686218,73.15507507,0.999864459,364.7453308,101.1763535,0.99994874,235.2801361,258.2874756,0.99998939,343.913269,224.0575867,0.999825299
96,331.3475647,28.43416595,0.999991059,431.6717224,75.19386292,0.999944687,366.4061279,106.039711,0.99985683,240.709198,258.5645142,0.999988437,343.4798889,224.2893829,0.999907613
97,331.2294617,27.8813839,0.99998951,432.3381348,76.59786224,0.999969721,359.3460999,103.5744247,0.999936342,252.1905518,260.2840881,0.999992371,344.1978455,222.4674377,0.999792516
98,331.5250244,28.85778809,0.999991059,431.3946838,77.59443665,0.999897122,368.5877686,102.1722336,0.99981302,254.4497681,261.2976379,0.999992728,359.4329224,224.3489532,0.999838352
99,331.8046875,28.87973976,0.999990463,431.1243591,73.90540314,0.999901652,359.8703918,98.12989044,0.999834418,276.4096069,264.7592163,0.999981403,377.1407471,216.0245514,0.999161959
100,332.0427856,29.35485077,0.999991775,429.1352539,77.21556854,0.999901772,366.3715515,104.3903427,0.994185686,280.9778137,266.0095215,0.999914765,293.2580261,209.1765137,0.997757852
101,332.5914307,30.65491867,0.999993086,430.6629639,77.64586639,0.999853849,366.3632202,100.3841476,0.999830842,235.6248169,224.4115753,0.99534899,324.1971436,237.3811035,0.999951959
102,332.037323,29.80702591,0.999989629,428.0847168,73.47161865,0.999852538,368.7606201,100.412468,0.999859929,201.0504608,248.9546204,0.999982834,350.6853027,233.3919067,0.999445498
103,331.5403137,29.24175072,0.99999094,430.6555481,77.46538544,0.999870896,368.6970825,100.3755646,0.99429214,215.16008,258.8362732,0.999998093,290.5274048,215.3134918,0.999086022
104,331.6363525,28.76200485,0.999991179,430.4422607,75.73119354,0.999909759,355.0178223,97.03399658,0.999705732,237.9387054,262.8361511,0.999986529,312.2557678,226.0051422,0.999852061
105,331.637085,29.32745552,0.999991298,429.4437561,74.83636475,0.99985671,351.8084106,94.25424957,0.94789958,158.4222565,215.1170807,0.079834029,317.818512,227.7925262,0.999802172
106,331.335907,28.84047318,0.999990821,431.718689,78.35451508,0.999922991,335.1895447,98.13710022,0.964749098,175.9747314,250.2487335,0.999959826,316.1352844,227.3155212,0.999931335
107,331.4366455,28.5835495,0.999989629,430.9407349,77.89752197,0.999879241,339.2624207,93.69470978,0.967752457,174.9420319,248.5662994,0.999979258,317.1695557,227.7052155,0.999945879
108,331.5975037,29.50170898,0.999990582,431.1633606,75.32727814,0.99991405,351.6891174,91.20985413,0.999839067,173.1739349,248.8811493,0.999983191,317.1237183,226.3256683,0.999965429
109,331.4934998,28.8752327,0.999990463,431.3556519,76.61463165,0.999943852,353.4571228,96.29363251,0.998764157,170.685318,243.33284,0.999982953,319.6271057,227.6371002,0.999959111
110,331.8435059,29.09254456,0.999989033,432.7254333,76.75189209,0.99996841,357.5599365,92.52490234,0.999721467,168.6925659,248.9754181,0.99957937,349.579071,218.6670532,0.995534778
111,331.1491394,28.14037514,0.999992013,433.1980591,75.47107697,0.999979377,355.3150635,96.43349457,0.999735057,171.1022491,245.7475128,0.999983311,286.6465759,230.6990967,0.999876499
112,331.0218201,27.67113686,0.999991894,433.441925,75.25723267,0.999982119,353.1539612,101.0232849,0.999971867,162.7447815,246.2966919,0.999984622,322.4515686,229.9163513,0.999978065
